,Category ID,Category Name,Number,Name,Weight (in Grams),Dimensions
3165,238,"Minifigure, Head",3626bps8,"Minifigure, Head Alien with SW Darth Maul, Red Face Pattern - Blocked Open Stud",0.54,? x ? x ?
3166,238,"Minifigure, Head",3626bpa2,"Minifigure, Head Alien with Adventurers Mummy, Eyebrows, Red around Eyes, Pupils Pattern - Blocked Open Stud",0.54,? x ? x ?
3167,238,"Minifigure, Head",3626bpx85,"Minifigure, Head (Without Face) Red Strawberries with Green Pattern - Blocked Open Stud",0.54,? x ? x ?
3168,238,"Minifigure, Head",3626bpx79,"Minifigure, Head Alien with Blue Eye Mask Large, Red Dot Pattern - Blocked Open Stud",0.54,? x ? x ?
3169,238,"Minifigure, Head",3626bpx76,"Minifigure, Head Alien with Green Brain and Yellow Mouth Pattern - Blocked Open Stud",0.54,? x ? x ?
3499,238,"Minifigure, Head",3626bpx122,"Minifigure, Head Moustache Red, Eyebrows and Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3513,238,"Minifigure, Head",3626bp65,"Minifigure, Head Female with Ice Planet Red Hair and Black Hoop Earrings Pattern - Blocked Open Stud",0.54,? x ? x ?
3514,238,"Minifigure, Head",3626bpb0176,"Minifigure, Head Glasses with Blue Sunglasses and Wide-Spaced Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3515,238,"Minifigure, Head",3626bpx93,"Minifigure, Head Male Snarl, Stubble, and Scar Right Pattern - Blocked Open Stud",0.54,? x ? x ?
3516,238,"Minifigure, Head",3626bpx114,"Minifigure, Head Glasses with Green Angled Sunglasses and Brown Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3517,238,"Minifigure, Head",3626apb03,"Minifigure, Head Male Eyepatch, Stubble, Black Hair Pattern - Solid Stud",0.57,? x ? x ?
3518,238,"Minifigure, Head",3626bpx157,"Minifigure, Head Glasses with Silver Sunglasses and Red Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
